Address,Price,Beds,Baths,Days Listed,Type,Agent,Agency,URL
"397 Linwood Ave, Newton, MA 02460","$3,999,000",12,8,13 days,Multi-Family (2-4 Unit),Vahe Haytayan, • Vahe Haytayan ,https://www.redfin.com/MA/Newton/397-Linwood-Ave-02460/home/11417259
"127 Albemarle Rd, Newton, MA 02460","$1,000,000",3,2.5,65 days,Single Family Residential,Sestito Group, • William Raveis R.E. & Home Services ,https://www.redfin.com/MA/Newton/127-Albemarle-Rd-02460/home/11416524
"7 Farwell Cir, Newton, MA 02460","$2,150,000",5,3.5,68 days,Single Family Residential,Shari Jacobson, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton/7-Farwell-St-02460/home/175012977
"435 Albemarle Rd, Newton, MA 02460","$1,150,000",3,2,102 days,Single Family Residential,Ed Lyon, • Preservation Properties ,https://www.redfin.com/MA/Newtonville/435-Albemarle-Rd-02460/home/11418380
"70 Walker St Unit 3A, Newton, MA 02460","$2,100,000",4,4,117 days,Single Family Residential,O & C Homes Team, • William Raveis R.E. & Home Services ,https://www.redfin.com/MA/Newtonville/70-Walker-St-02460/unit-3A/home/181486936
"9 Farwell Cir, Newton, MA 02460","$1,000,000",—,—,140 days,Vacant Land,Shari Jacobson, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton/9-Farwell-St-02460/home/175012978
"11 Farwell Cir, Newton, MA 02460","$1,000,000",—,—,140 days,Vacant Land,Shari Jacobson, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton/11-Farwell-St-02460/home/175012979
"8 Whitney Rd, Newton, MA 02460","$1,699,000",3,3,34 days,Single Family Residential,Ellen Meisel, • Unlimited Sotheby's International Realty ,https://www.redfin.com/MA/Newtonville/8-Whitney-Rd-02460/home/11420852
"4 Hersey St, Newton, MA 02461","$1,099,900",3,1.5,39 days,Single Family Residential,Leah & Maureen Realty Group, • RE/MAX Preferred Properties ,https://www.redfin.com/MA/Newton/4-Hersey-St-02461/home/11487595
"130 Dickerman, Newton, MA 02461","$1,499,000",6,2.5,61 days,Single Family Residential,Radhy Pena, • Pondside Realty ,https://www.redfin.com/MA/Newton/130-Dickerman-Rd-02461/home/11455025
"18 Josselyn Pl #18, Newton, MA 02461","$1,995,000",3,4.5,87 days,Single Family Residential,Stephanie Lau," • Bellafi Real Estate, Inc. ",https://www.redfin.com/MA/Newton/18-Josselyn-Pl-02461/unit-18/home/179809341
"22 Rockland Unit 22-1, Newton, MA 02461","$1,199,000",3,3,102 days,Condo,Kioumars Amini, • Select Realty Associate ,https://www.redfin.com/MA/Newton-Highlands/22-Rockland-St-02461/unit-22-1/home/182163953
"22 Rockland St Unit 22-2, Newton, MA 02461","$1,299,000",4,3,102 days,Condo,Kioumars Amini, • Select Realty Associate ,https://www.redfin.com/MA/Newton-Highlands/22-Rockland-St-02461/unit-22-2/home/182163889
"69 Lincoln St #1, Newton, MA 02461","$2,799,000",5,5.5,131 days,Townhouse,Chris Kostopoulos Group, • Keller Williams Realty ,https://www.redfin.com/MA/Newton-Highlands/69-Lincoln-St-02461/unit-1/home/181492383
"67 Lincoln St #1, Newton, MA 02461","$2,799,000",5,5.5,131 days,Single Family Residential,Chris Kostopoulos Group, • Keller Williams Realty ,https://www.redfin.com/MA/Newton/67-Lincoln-St-02461/unit-1/home/181492339
"30 Columbia Ave #1, Newton, MA 02464","$924,900",3,2.5,81 days,Townhouse,Franddy Aguasvivas, • CVM Realty ,https://www.redfin.com/MA/Newton/30-Columbia-Ave-02461/unit-1/home/11445719
"2323 Washington St Unit 1-5, Newton, MA 02462","$389,900",1,1,67 days,Condo,Thomas Bray, • Big Sky Properties MA ,https://www.redfin.com/MA/Newton-Lower-Falls/2323-Washington-St-02462/unit-1-5/home/11439126
"11 Crehore Dr, Newton, MA 02462","$2,649,000",5,4.5,93 days,Single Family Residential,Derek Greene, • The Greene Realty Group ,https://www.redfin.com/MA/Newton/11-Crehore-Dr-02462/home/11438513
"613 Grove St #1, Newton, MA 02462","$529,900",2,1,128 days,Townhouse,Michael Quinn, • Realty Associates ,https://www.redfin.com/MA/Newton/613-Grove-St-02462/unit-1/home/179514841
"183 Oak St #501, Newton, MA 02464","$700,000",2,2,4 days,Condo,Terry Brown, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton-Upper-Falls/183-Oak-St-02464/unit-501/home/11447609
"20 Wetherell St #1, Newton, MA 02464","$1,695,000",5,4.5,81 days,Townhouse,MB Associates, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton/20-Wetherell-St-02464/unit-1/home/182509545
"96 Webster St #96, Newton, MA 02465","$2,050,000",5,5,5 days,Townhouse,Zahra Zoglauer, • Berkshire Hathaway HomeServices Commonwealth Real Estate ,https://www.redfin.com/MA/Newton/96-Webster-St-02465/unit-96/home/179894040
"94 Webster St #94, Newton, MA 02465","$1,950,000",5,4.5,5 days,Townhouse,Zahra Zoglauer, • Berkshire Hathaway HomeServices Commonwealth Real Estate ,https://www.redfin.com/MA/Newton/94-Webster-St-02465/unit-94/home/179894021
"166 Webster St #166, Newton, MA 02465","$1,468,000",4,3.5,111 days,Townhouse,Deanna Salemme, • Coldwell Banker Realty - Newton ,https://www.redfin.com/MA/Newton/166-Webster-St-02465/unit-166/home/182000285
"7 Auburn St, Newton, MA 02465","$1,674,000",4,4.5,173 days,Single Family Residential,David Paez," • Boston International Real Estate, LLC ",https://www.redfin.com/MA/Newton/7-Auburn-St-02465/home/11430111
"7 Auburn St #7, Newton, MA 02465","$1,674,000",4,4.5,179 days,Townhouse,David Paez," • Boston International Real Estate, LLC ",https://www.redfin.com/MA/Newton/7-Auburn-St-02465/unit-7/home/179757786
"230 Austin #2, Newton, MA 02465","$2,149,000",4,4.5,208 days,Single Family Residential,Joelle Tomb, • Engel & Volkers Wellesley ,https://www.redfin.com/MA/West-Newton/230-Austin-St-02465/unit-2/home/180258777
"230 Austin #1, Newton, MA 02465","$2,149,000",4,4.5,208 days,Single Family Residential,Joelle Tomb, • Engel & Volkers Wellesley ,https://www.redfin.com/MA/West-Newton/230-Austin-St-02465/unit-1/home/180258951
"60 Howland Rd, Newton, MA 02465","$6,995,000",7,8,213 days,Single Family Residential,Beth Dickerson, • Gibson Sotheby's International Realty ,https://www.redfin.com/MA/Newton/60-Howland-Rd-02465/home/11428905
"10 Elberta, Newton, MA 02466","$2,350,000",5,6.5,4 days,Single Family Residential,Darlene Umina," • Lamacchia Realty, Inc. ",https://www.redfin.com/MA/Auburndale/10-Elberta-Ter-02466/home/11436248
"62-64 Rowe St Unit A, Newton, MA 02466","$929,000",3,3,13 days,Townhouse,Gloria Conviser, • Keller Williams Realty ,https://www.redfin.com/MA/Auburndale/62-Rowe-St-02466/unit-A/home/11443428
"51 Oakland Ave, Newton, MA 02466","$2,200,000",6,4.5,14 days,Single Family Residential,Kevin Caulfield, • Compass ,https://www.redfin.com/MA/Auburndale/51-Oakland-Ave-02466/home/11435536
"37-39 Bencliffe Cir, Newton, MA 02466","$1,375,000",5,3.5,30 days,Multi-Family (2-4 Unit),Robert Einhorn, • Robert Einhorn ,https://www.redfin.com/MA/Auburndale/37-Bencliffe-Cir-02466/home/182847293
